strategy_id,label,dna,n_params,robustness_score,eligible,n_profitable_assets,n_assets,total_trades,min_trades_per_asset,avg_profit_factor,avg_sharpe,cross_asset_sharpe_std,BTCUSD_daily_trades,BTCUSD_daily_return_pct,BTCUSD_daily_pf,BTCUSD_daily_sharpe,BTCUSD_hourly_trades,BTCUSD_hourly_return_pct,BTCUSD_hourly_pf,BTCUSD_hourly_sharpe,EURUSDX_daily_trades,EURUSDX_daily_return_pct,EURUSDX_daily_pf,EURUSDX_daily_sharpe,EURUSDX_hourly_trades,EURUSDX_hourly_return_pct,EURUSDX_hourly_pf,EURUSDX_hourly_sharpe,GLD_daily_trades,GLD_daily_return_pct,GLD_daily_pf,GLD_daily_sharpe,GLD_hourly_trades,GLD_hourly_return_pct,GLD_hourly_pf,GLD_hourly_sharpe,SPY_daily_trades,SPY_daily_return_pct,SPY_daily_pf,SPY_daily_sharpe,SPY_hourly_trades,SPY_hourly_return_pct,SPY_hourly_pf,SPY_hourly_sharpe,TNX_daily_trades,TNX_daily_return_pct,TNX_daily_pf,TNX_daily_sharpe,TNX_hourly_trades,TNX_hourly_return_pct,TNX_hourly_pf,TNX_hourly_sharpe
S4533628,LONG: lowest_low_10 + 0.75xATR(40)  |  filter=adx_below(40)  |  exit=ATR stop 2.0x / target 5.0x,lowest_low_10|adx_below|atr_stop_target|long,6,73.0,True,9,10,4478,165,1.3,0.73,0.56,230,1667.1,1.46,0.69,941,80.6,1.12,1.0,258,5.0,1.05,0.07,643,-1.1,0.99,-0.06,305,1265.5,1.69,0.85,199,69.2,1.48,1.67,460,264.0,1.23,0.31,198,32.8,1.31,1.06,1079,740.5,1.22,0.25,165,57.5,1.48,1.48
S3692809,LONG: lowest_low_10 + 1.0xATR(40)  |  filter=adx_master_filter  |  exit=EOD (close at end of session),lowest_low_10|adx_master_filter|eod_exit|long,4,71.8,True,10,10,10996,333,1.15,0.54,0.53,1267,254.6,1.15,0.47,628,60.2,1.14,0.8,1026,5.3,1.07,0.11,438,2.4,1.04,0.23,1096,19.5,1.07,0.16,389,11.9,1.17,0.72,1915,62.2,1.1,0.23,342,10.5,1.17,0.55,3562,67.9,1.09,0.14,333,41.9,1.49,1.96
S4246597,LONG: lowest_low_10 + 0.5xATR(10)  |  filter=adx_master_filter  |  exit=EOD (close at end of session),lowest_low_10|adx_master_filter|eod_exit|long,4,71.5,True,10,10,12530,368,1.13,0.49,0.46,1485,285.7,1.14,0.49,639,52.0,1.13,0.72,1356,6.2,1.07,0.12,448,4.1,1.07,0.36,1244,20.6,1.07,0.16,424,8.8,1.11,0.53,2101,26.8,1.05,0.13,368,11.2,1.16,0.57,4075,50.8,1.07,0.12,390,38.7,1.39,1.72
S6737831,LONG: lowest_low_10 + 0.5xATR(30)  |  filter=close_above_sma100  |  exit=stop@POI / target 5.0xATR,lowest_low_10|close_above_sma100|poi_anchored_stop|long,5,69.8,True,9,10,2643,103,1.37,0.58,0.41,167,13452.2,2.1,1.14,551,-1.5,1.02,0.12,179,35.5,1.25,0.23,323,6.2,1.13,0.64,201,251.0,1.5,0.5,127,51.9,1.52,1.46,322,477.8,1.51,0.52,124,3.3,1.07,0.2,546,808.2,1.35,0.29,103,18.9,1.28,0.71
S8886116,LONG: donchian_low20 + 3.0xATR(40)  |  filter=shallow_pullback_long(0.75)  |  exit=time(5 bars),donchian_low20|shallow_pullback_long|time_exit|long,5,62.4,True,7,10,4413,178,1.18,0.36,0.35,242,1841.6,1.65,0.82,808,-1.1,1.02,0.12,237,-16.1,0.87,-0.17,566,-1.5,0.97,-0.17,333,86.7,1.25,0.33,208,14.1,1.17,0.59,647,121.3,1.22,0.32,217,13.9,1.26,0.88,977,334.1,1.22,0.26,178,12.6,1.2,0.65
S6232800,LONG: sma50 + 1.5xATR(20)  |  filter=adx_below(35)  |  exit=stop@POI / target 2.0xATR,sma50|adx_below|poi_anchored_stop|long,5,61.6,True,8,10,2811,112,1.22,0.33,0.45,162,1074.1,1.68,0.84,555,-32.5,0.9,-0.72,152,-8.2,0.96,-0.05,342,1.2,1.03,0.18,256,225.5,1.45,0.53,124,6.1,1.11,0.33,332,240.5,1.41,0.48,118,7.4,1.17,0.54,658,181.8,1.19,0.19,112,20.6,1.34,0.94
S7365927,LONG: prev_close + 1.0xATR(20)  |  exit=EOD (close at end of session),prev_close|none|eod_exit|long,3,60.3,True,7,10,5154,187,1.25,0.6,1.03,317,104.4,1.27,0.41,528,68.9,1.2,1.0,272,-0.3,1.0,-0.0,428,-0.6,1.0,-0.02,481,4.3,1.05,0.07,229,11.5,1.3,1.01,631,-22.3,0.88,-0.19,197,2.1,1.07,0.19,1884,31.4,1.11,0.1,187,63.6,2.59,3.48
S7812348,LONG: donchian_low20 + 0.5xATR(40)  |  filter=shallow_pullback_long(1.0)  |  exit=time(5 bars),donchian_low20|shallow_pullback_long|time_exit|long,5,60.1,True,7,10,6821,280,1.12,0.24,0.34,384,3048.3,1.51,0.83,1465,-8.3,1.0,0.03,525,-11.0,0.97,-0.05,975,-3.2,0.96,-0.3,474,244.1,1.35,0.51,280,23.0,1.19,0.79,857,17.0,1.05,0.1,303,2.3,1.04,0.16,1275,3.3,1.06,0.08,283,4.1,1.05,0.22
S3332590,LONG: donchian_low20 + 0.5xATR(14)  |  exit=ATR stop 1.5x / target 1.5x,donchian_low20|none|atr_stop_target|long,5,60.1,True,7,10,10675,420,1.11,0.37,0.52,566,1337.8,1.26,0.7,2182,-22.0,0.98,-0.23,631,-4.3,1.0,0.01,1541,-6.3,0.96,-0.59,781,377.1,1.25,0.61,452,25.3,1.15,0.94,1188,205.4,1.12,0.31,452,15.2,1.11,0.7,2462,35.7,1.06,0.12,420,35.6,1.19,1.18
S5841066,LONG: sma50 + 2.0xATR(14)  |  filter=adx_master_filter  |  exit=ATR stop 1.0x / target 1.5x,sma50|adx_master_filter|atr_stop_target|long,6,60.0,True,7,10,4186,162,1.15,0.38,0.6,317,729.8,1.4,0.78,790,-12.2,0.96,-0.36,197,-11.6,0.89,-0.16,558,-1.5,0.97,-0.24,344,15.3,1.07,0.13,245,24.9,1.4,1.72,434,21.2,1.09,0.14,162,7.2,1.24,0.87,958,406.4,1.33,0.39,181,7.4,1.13,0.52
S6703084,LONG: lowest_low_10 + 0.5xATR(40)  |  filter=shallow_pullback_long(0.5)  |  exit=EOD (close at end of session),lowest_low_10|shallow_pullback_long|eod_exit|long,4,57.4,True,6,10,7973,261,1.12,0.38,0.53,569,397.9,1.34,0.7,638,31.2,1.1,0.56,739,-0.2,1.0,0.0,455,-3.2,0.96,-0.23,816,6.2,1.04,0.08,261,20.1,1.5,1.44,1591,-21.6,0.95,-0.13,277,3.1,1.08,0.3,2366,-11.8,0.99,-0.01,261,17.2,1.29,1.09
S7579119,LONG: lowest_low_10 + 2.5xATR(10)  |  filter=atr_expansion(1.0)  |  exit=EOD (close at end of session),lowest_low_10|atr_expansion|eod_exit|long,4,57.1,True,6,10,4776,121,1.16,0.35,0.55,418,510.0,1.46,0.77,425,53.9,1.18,0.86,289,1.0,1.06,0.04,310,-1.7,0.96,-0.18,500,-1.3,1.0,0.01,159,8.0,1.3,0.83,707,-27.5,0.86,-0.24,135,-2.9,0.91,-0.2,1712,75.4,1.19,0.17,121,19.7,1.63,1.44
S9372345,LONG: sma50 + 1.5xATR(14)  |  filter=adx_below(45)  |  exit=stop@POI / target 1.5xATR,sma50|adx_below|poi_anchored_stop|long,5,56.9,True,6,10,3446,132,1.2,0.31,0.43,226,6007.3,2.0,1.25,673,-2.2,1.01,0.07,187,-12.2,0.93,-0.08,406,-1.2,0.98,-0.13,297,113.3,1.29,0.38,163,-0.0,1.02,0.06,426,219.2,1.35,0.46,146,0.5,1.02,0.07,790,40.2,1.09,0.11,132,20.2,1.31,0.94
S8200699,LONG: sma50 + 1.0xATR(30)  |  filter=adx_master_filter  |  exit=ATR stop 2.0x / target 2.0x,sma50|adx_master_filter|atr_stop_target|long,6,56.5,True,7,10,3207,121,1.15,0.26,0.59,256,2364.1,1.56,0.95,598,-8.8,0.98,-0.13,147,-13.8,0.9,-0.13,423,-6.9,0.87,-0.96,259,52.8,1.17,0.26,198,26.1,1.32,1.31,295,111.3,1.28,0.34,121,2.2,1.06,0.21,766,161.9,1.18,0.2,144,10.6,1.15,0.55
